priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
2631.57894736842,2019,2019-01-31,F,L,100000,S1 1AD,E08000019,{85866A65-46FF-143F-E053-6B04A8C06A15},15795696,38.0,,11,77,77,NO DATA!
2377.27272727273,2019,2019-03-04,F,L,78450,S1 1AD,E08000019,{87E1551E-9C60-6405-E053-6C04A8C0B2EE},15796436,33.0,,11,69,69,NO DATA!
2585.36585365854,2019,2019-02-11,F,L,106000,S1 1AD,E08000019,{85866A65-478F-143F-E053-6B04A8C06A15},15808975,41.0,,11,77,77,NO DATA!
2105.95238095238,2019,2019-02-28,F,L,88450,S1 1AD,E08000019,{87E1551E-9C5E-6405-E053-6C04A8C0B2EE},15817403,42.0,,11,64,64,NO DATA!
2452.38095238095,2019,2019-04-26,F,L,103000,S1 1AD,E08000019,{8CAC1318-BBFE-0253-E053-6B04A8C08E51},15887771,42.0,,11,77,77,NO DATA!
2461.53846153846,2019,2019-02-28,F,L,96000,S1 1AD,E08000019,{85866A65-475A-143F-E053-6B04A8C06A15},15763123,39.0,,11,77,77,NO DATA!
2524.39024390244,2019,2019-06-14,F,L,103500,S1 1AD,E08000019,{8F1B26BE-3BD3-53DB-E053-6C04A8C03649},15889582,41.0,,11,77,77,NO DATA!
2552.08333333333,2019,2019-01-16,F,L,122500,S1 1AE,E08000019,{87E1551E-9C8B-6405-E053-6C04A8C0B2EE},15779199,48.0,,11,73,73,NO DATA!
2872.34042553192,2022,2022-05-13,F,L,135000,S1 1AE,E08000019,{E2D14906-1A29-4C2D-E053-6B04A8C0422B},15893532,47.0,,11,69,69,NO DATA!
2670.73170731707,2019,2019-02-22,F,L,109500,S1 1AE,E08000019,{85866A65-4735-143F-E053-6B04A8C06A15},15751703,41.0,,11,76,76,NO DATA!
2512.82051282051,2019,2019-06-07,F,L,98000,S1 1AE,E08000019,{8F1B26BE-3B9D-53DB-E053-6C04A8C03649},15907843,39.0,,11,77,77,NO DATA!
2400.0,2019,2019-05-10,F,L,120000,S1 1AE,E08000019,{8CAC1318-BC0E-0253-E053-6B04A8C08E51},15868257,50.0,,11,72,72,NO DATA!
1806.25,2019,2019-05-31,F,L,144500,S1 1AE,E08000019,{8CAC1318-BC74-0253-E053-6B04A8C08E51},15809449,80.0,,11,61,61,NO DATA!
2807.69230769231,2019,2019-02-22,F,L,109500,S1 1AE,E08000019,{85866A65-4734-143F-E053-6B04A8C06A15},15797943,39.0,,11,76,76,NO DATA!
2170.38461538462,2021,2021-08-18,F,L,84645,S1 1AE,E08000019,{D4D42646-67AB-27F6-E053-6C04A8C0A572},15886201,39.0,,11,76,76,NO DATA!
2400.0,2019,2019-02-27,F,L,120000,S1 1AE,E08000019,{85866A65-4778-143F-E053-6B04A8C06A15},15864873,50.0,,11,72,72,NO DATA!
3133.33333333333,2019,2019-03-13,F,L,94000,S1 1AE,E08000019,{85866A65-47B0-143F-E053-6B04A8C06A15},15804684,30.0,,11,72,72,NO DATA!
2692.30769230769,2019,2019-03-06,F,L,105000,S1 1AE,E08000019,{85866A65-47CC-143F-E053-6B04A8C06A15},15890476,39.0,,11,77,77,NO DATA!
2600.0,2019,2019-03-29,F,L,104000,S1 1AE,E08000019,{87E1551E-9C9C-6405-E053-6C04A8C0B2EE},15799277,40.0,,11,75,75,NO DATA!
2450.0,2019,2019-08-09,F,L,98000,S1 1AE,E08000019,{965B6D91-F2CC-95E4-E053-6C04A8C07729},15861258,40.0,,11,76,76,NO DATA!
2545.45454545455,2020,2020-10-05,F,L,140000,S1 1AE,E08000019,{B82222ED-54C9-6691-E053-6B04A8C02FB2},15796618,55.0,,11,67,67,NO DATA!
3469.69696969697,2019,2019-10-17,F,L,114500,S1 2DJ,E08000019,{98C75472-61A3-72E9-E053-6B04A8C042F0},15779610,33.0,,11,56,56,NO DATA!
1519.60784313725,2019,2019-01-22,F,L,77500,S1 2DS,E08000019,{8355F009-7843-55C5-E053-6B04A8C0D090},15834276,51.0,2.0,11,81,83,INVALID!
1842.10526315789,2019,2019-05-23,F,L,70000,S1 2DU,E08000019,{8CAC1318-BBF8-0253-E053-6B04A8C08E51},15732701,38.0,1.0,11,47,62,England and Wales: 1900-1929
2390.24390243902,2020,2020-03-05,F,L,98000,S1 2DU,E08000019,{A71375FD-EAAA-7576-E053-6C04A8C0462F},15888553,41.0,,11,81,81,NO DATA!
2937.5,2022,2022-03-18,F,L,117500,S1 2EA,E08000019,{DE2D0CE0-3896-51EE-E053-6C04A8C00671},15907092,40.0,2.0,11,46,76,England and Wales: 1900-1929
1750.0,2019,2019-10-11,F,L,112000,S1 2EA,E08000019,{98C75472-5E78-72E9-E053-6B04A8C042F0},15741455,64.0,3.0,11,68,79,England and Wales: 1900-1929
2000.0,2021,2021-03-25,F,L,180000,S1 2EA,E08000019,{CB0035E6-4008-58AE-E053-6B04A8C091AF},15885759,90.0,5.0,12,43,66,England and Wales: 1900-1929
1911.11111111111,2020,2020-02-27,F,L,172000,S1 2EA,E08000019,{A96E4ACC-949F-9205-E053-6C04A8C0DA09},15885759,90.0,5.0,12,43,66,England and Wales: 1900-1929
3457.14285714286,2021,2021-11-05,F,L,121000,S1 2EA,E08000019,{D22473F6-164B-7B40-E053-6C04A8C0A630},15791373,35.0,2.0,11,58,73,England and Wales: 1983-1990
1426.28936558649,2021,2021-03-29,F,L,125000,S1 2EA,E08000019,{CD5A9DCC-605D-310A-E053-6C04A8C00A1F},15800569,87.64,4.0,11,71,72,England and Wales: before 1900
2325.0,2019,2019-09-19,F,L,93000,S1 2EA,E08000019,{93E6821E-DB06-40FD-E053-6B04A8C0C1DF},15839042,40.0,2.0,11,71,80,England and Wales: 1900-1929
1636.36363636364,2021,2021-04-16,F,L,90000,S1 2ED,E08000019,{C3C3F9B6-57D9-362B-E053-6B04A8C03ACC},15850523,55.0,3.0,11,69,82,England and Wales: before 1900
1818.18181818182,2019,2019-12-20,F,L,80000,S1 2ED,E08000019,{9FF0D96A-3204-11ED-E053-6C04A8C06383},15858740,44.0,2.0,12,75,81,England and Wales: 1900-1929
2211.53846153846,2020,2020-11-12,F,L,172500,S1 2EH,E08000019,{BC8936BC-00E5-0E2C-E053-6C04A8C0DBF4},15727266,78.0,3.0,12,79,83,England and Wales: 2003-2006
