priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,latitude,longitude
4268.1538811746,2019,2019-11-01,F,L,187500,CF10 1AQ,W06000015,{9B361206-0D4B-1904-E053-6B04A8C0EEB5},22648473,43.93,,11,87,87,NO DATA!,51.47952,-3.17611
4675.87672688629,2019,2019-04-05,F,L,220000,CF10 1AQ,W06000015,{8A78B2AF-5D21-5CB0-E053-6B04A8C0F504},22634138,47.05,,11,85,85,NO DATA!,51.47952,-3.17611
2833.33333333333,2022,2022-04-08,F,L,136000,CF10 1AR,W06000015,{E2D14905-31ED-4C2D-E053-6B04A8C0422B},22610477,48.0,2.0,12,82,87,England and Wales: before 1900,51.48043,-3.18199
4347.82608695652,2021,2021-10-27,F,L,300000,CF10 1BL,W06000015,{E073986A-F27F-2134-E053-6C04A8C0233B},22740535,69.0,3.0,12,83,83,England and Wales: 2007-2011,51.47905,-3.17577
4007.12377560107,2021,2021-12-22,F,L,180000,CF10 1BL,W06000015,{DE2D0CDF-7835-51EE-E053-6C04A8C00671},22717348,44.92,,11,81,81,NO DATA!,51.47905,-3.17577
2270.70347284061,2020,2020-12-10,F,L,102000,CF10 1BL,W06000015,{C8A3A575-FC96-0425-E053-6C04A8C0947B},22717348,44.92,,11,81,81,NO DATA!,51.47905,-3.17577
4244.32966539412,2019,2019-04-05,F,L,189000,CF10 1BL,W06000015,{8A78B2AF-5D07-5CB0-E053-6B04A8C0F504},22721474,44.53,,11,83,83,NO DATA!,51.47905,-3.17577
4849.88452655889,2019,2019-12-18,F,L,315000,CF10 1BZ,W06000015,{9DBAD221-7D5F-6EB3-E053-6B04A8C0F257},22626158,64.95,,11,75,75,NO DATA!,51.47855,-3.17535
2409.72222222222,2020,2020-09-30,F,L,173500,CF10 1DE,W06000015,{B82222EC-9AEF-6691-E053-6B04A8C02FB2},22706156,72.0,3.0,11,64,80,England and Wales: 1930-1949,51.47973,-3.18173
1985.50724637681,2020,2020-02-28,F,L,137000,CF10 1DE,W06000015,{AC07BBCF-EF62-0445-E053-6C04A8C01E31},22622661,69.0,3.0,12,68,81,England and Wales: 1900-1929,51.47973,-3.18173
2492.53731343284,2019,2019-07-12,F,L,167000,CF10 1DF,W06000015,{965B6D91-25C0-95E4-E053-6C04A8C07729},22755225,67.0,3.0,12,53,73,England and Wales: 1900-1929,51.4796454,-3.18324022
2154.92957746479,2021,2021-02-26,F,L,153000,CF10 1DF,W06000015,{D707E534-F43A-0AD9-E053-6B04A8C067CC},22718739,71.0,3.0,12,67,79,England and Wales: 1930-1949,51.4796454,-3.18324022
2028.98550724638,2021,2021-02-05,F,L,140000,CF10 1DF,W06000015,{BEF7EBBE-ABBE-7A76-E053-6B04A8C092F7},22639013,69.0,3.0,11,52,76,England and Wales: 1930-1949,51.4796454,-3.18324022
2652.5198938992,2019,2019-12-20,F,L,180000,CF10 1DH,W06000015,{B32EBB13-5E0B-3C99-E053-6C04A8C09CA1},22722369,67.86,3.0,11,60,71,England and Wales: 1930-1949,51.48011,-3.1825
2272.72727272727,2022,2022-03-23,F,L,150000,CF10 1DH,W06000015,{DE2D0CDF-7245-51EE-E053-6C04A8C00671},22662880,66.0,3.0,12,69,80,England and Wales: 1900-1929,51.48011,-3.1825
2529.45252945253,2019,2019-04-01,F,L,146000,CF10 1DJ,W06000015,{AC07BBCF-EE01-0445-E053-6C04A8C01E31},22619634,57.72,3.0,11,71,76,England and Wales: 1930-1949,51.48023,-3.18275
2131.14754098361,2019,2019-06-07,F,L,130000,CF10 1DJ,W06000015,{8F1B26BD-7122-53DB-E053-6C04A8C03649},22684794,61.0,3.0,12,58,80,England and Wales: 1930-1949,51.48023,-3.18275
2772.00277200277,2021,2021-01-18,F,L,160000,CF10 1DJ,W06000015,{CFC9085C-6A7F-9A70-E053-6B04A8C09D6A},22619634,57.72,3.0,11,71,76,England and Wales: 1930-1949,51.48023,-3.18275
2295.08196721311,2021,2021-12-02,F,L,140000,CF10 1DJ,W06000015,{E2D14905-306B-4C2D-E053-6B04A8C0422B},22684794,61.0,3.0,12,58,80,England and Wales: 1930-1949,51.48023,-3.18275
2297.2972972973,2019,2019-05-31,F,L,170000,CF10 1DJ,W06000015,{8F1B26BD-7220-53DB-E053-6C04A8C03649},22618594,74.0,4.0,11,68,81,England and Wales: 1930-1949,51.48023,-3.18275
2388.1893182805,2019,2019-04-11,F,L,110000,CF10 1DJ,W06000015,{87E1551D-FFA7-6405-E053-6C04A8C0B2EE},22664974,46.06,2.0,11,73,80,England and Wales: 1930-1949,51.48023,-3.18275
2500.0,2021,2021-07-13,F,L,185000,CF10 1DJ,W06000015,{CB0035E5-9CA8-58AE-E053-6B04A8C091AF},22618594,74.0,4.0,11,68,81,England and Wales: 1930-1949,51.48023,-3.18275
3020.83333333333,2019,2019-02-11,F,L,72500,CF10 1DL,W06000015,{8CAC1318-0AFC-0253-E053-6B04A8C08E51},22632120,24.0,1.0,11,65,76,England and Wales: 1930-1949,51.48037,-3.18303
2222.22222222222,2021,2021-09-10,F,L,160000,CF10 1DL,W06000015,{D93B27B0-70A0-3100-E053-6C04A8C08887},22701557,72.0,4.0,12,74,77,England and Wales: 1900-1929,51.48037,-3.18303
2428.57142857143,2019,2019-04-01,F,L,68000,CF10 1DL,W06000015,{8A78B2AF-5B5B-5CB0-E053-6B04A8C0F504},22663129,28.0,1.0,11,50,59,England and Wales: before 1900,51.48037,-3.18303
3097.01492537313,2021,2021-09-23,F,L,207500,CF10 1DL,W06000015,{D4D42645-6769-27F6-E053-6C04A8C0A572},22747891,67.0,3.0,12,68,75,England and Wales: 1930-1949,51.48037,-3.18303
2117.64705882353,2022,2022-03-10,F,L,180000,CF10 1DN,W06000015,{DE2D0CDF-7457-51EE-E053-6C04A8C00671},22720264,85.0,3.0,11,65,81,England and Wales: 1930-1949,51.48051,-3.18331
2470.94964605316,2021,2021-05-26,F,L,185000,CF10 1DN,W06000015,{D93B27B0-6EE9-3100-E053-6C04A8C08887},22645380,74.87,3.0,12,50,61,England and Wales: 1930-1949,51.48051,-3.18331
2744.18604651163,2019,2019-01-09,F,L,118000,CF10 1EU,W06000015,{80E1AA97-D6EC-7BF8-E053-6C04A8C00BF2},22696935,43.0,2.0,11,68,82,England and Wales: 2003-2006,51.47907865,-3.17925755
1914.89361702128,2019,2019-01-31,F,L,180000,CF10 1EU,W06000015,{8355F008-CB2D-55C5-E053-6B04A8C0D090},22630241,94.0,3.0,11,73,77,England and Wales: 2003-2006,51.47907865,-3.17925755
2520.0,2019,2019-01-17,F,L,126000,CF10 1EU,W06000015,{8355F008-CB30-55C5-E053-6B04A8C0D090},22615615,50.0,2.0,12,80,86,England and Wales: 2003-2006,51.47907865,-3.17925755
2766.66666666667,2019,2019-04-12,F,L,124500,CF10 1EU,W06000015,{87E1551D-FE48-6405-E053-6C04A8C0B2EE},22612148,45.0,2.0,12,71,84,England and Wales: 1996-2002,51.47907865,-3.17925755
2020.18181818182,2021,2021-06-25,F,L,88888,CF10 1FN,W06000015,{D22473F5-01B6-7B40-E053-6C04A8C0A630},22671502,44.0,2.0,11,82,84,England and Wales: 2003-2006,51.47796,-3.17667
2693.18181818182,2019,2019-09-27,F,L,118500,CF10 1FP,W06000015,{98C75471-9A39-72E9-E053-6B04A8C042F0},22703399,44.0,2.0,11,75,82,England and Wales: 2003-2006,51.4784099,-3.17661
2611.94029850746,2021,2021-02-26,F,L,175000,CF10 1FQ,W06000015,{BEF7EBBE-AA55-7A76-E053-6B04A8C092F7},22728616,67.0,3.0,11,80,83,England and Wales: 1996-2002,51.47814,-3.17633
2584.38818565401,2019,2019-03-19,F,L,122500,CF10 1FQ,W06000015,{87E1551D-FD8B-6405-E053-6C04A8C0B2EE},22654866,47.4,2.0,11,78,85,England and Wales: 2003-2006,51.47814,-3.17633
1875.0,2019,2019-12-18,F,L,225000,CF10 1FQ,W06000015,{9B361206-0ACB-1904-E053-6B04A8C0EEB5},22726304,120.0,4.0,12,43,71,England and Wales: 2003-2006,51.47814,-3.17633
2200.70422535211,2019,2019-07-24,F,L,250000,CF10 1FR,W06000015,{93E6821E-1495-40FD-E053-6B04A8C0C1DF},22729664,113.6,3.0,11,76,77,England and Wales: 2003-2006,51.47907,-3.17666
2082.47422680412,2020,2020-03-20,F,L,202000,CF10 1FR,W06000015,{A96E4ACB-F27C-9205-E053-6C04A8C0DA09},22751290,97.0,3.0,12,81,81,England and Wales: 2007-2011,51.47907,-3.17666
2943.39622641509,2021,2021-08-27,F,L,156000,CF10 2FF,W06000015,{D4D42645-66CC-27F6-E053-6C04A8C0A572},22707179,53.0,3.0,12,71,84,England and Wales: 2003-2006,51.4773799,-3.17253
3085.10638297872,2020,2020-11-06,F,L,145000,CF10 2FF,W06000015,{CFC9085C-68D9-9A70-E053-6B04A8C09D6A},22692758,47.0,2.0,12,75,85,England and Wales: 2003-2006,51.4773799,-3.17253
2975.97378958864,2020,2020-02-06,F,L,163500,CF10 2FG,W06000015,{9FF0D969-8EFC-11ED-E053-6C04A8C06383},22653221,54.94,4.0,12,71,82,England and Wales: 2003-2006,51.4773799,-3.17253
2836.06557377049,2021,2021-11-12,F,L,173000,CF10 2FG,W06000015,{DE2D0CDF-71E3-51EE-E053-6C04A8C00671},22679734,61.0,3.0,11,70,84,England and Wales: 2003-2006,51.4773799,-3.17253
2929.6875,2019,2019-04-16,F,L,187500,CF10 2FG,W06000015,{8A78B2AF-5B2A-5CB0-E053-6B04A8C0F504},22671281,64.0,3.0,11,76,85,England and Wales: 2003-2006,51.4773799,-3.17253
2570.71428571429,2019,2019-02-22,F,L,179950,CF10 2FG,W06000015,{8CAC1318-0AA1-0253-E053-6B04A8C08E51},22627126,70.0,3.0,12,69,83,England and Wales: 2003-2006,51.4773799,-3.17253
2440.0,2019,2019-01-25,F,L,183000,CF10 2FG,W06000015,{8355F008-CAF8-55C5-E053-6B04A8C0D090},22626820,75.0,3.0,12,73,85,England and Wales: 2003-2006,51.4773799,-3.17253
